101
1;Mickey Mouse;Walt Disney;Steamboat Willie;Um rato antropomorfico alegre e aventureiro, considerado o mascote da Walt Disney Company;
2;Bugs Bunny;Tex Avery;Looney Tunes;Um coelho inteligente e sarcastico, famoso por sua frase "What's up, doc?";
3;Homer Simpson;Matt Groening;The Simpsons;O pai da familia Simpson, conhecido por sua preguica, amor por rosquinhas e comportamento comico;
4;Scooby-Doo;Joe Ruby;Scooby-Doo, Where Are You!;Um cao medroso e guloso que resolve misterios ao lado de seus amigos da Misterio SA;
5;Bob Esponja Calca Quadrada;Stephen Hillenburg;SpongeBob SquarePants;Uma esponja do mar otimista e trabalhadora que vive no fundo do oceano na cidade de Fenda do Bikini;
6;Pikachu;Satoshi Tajiri;Pokemon;Um Pokemon do tipo eletrico, companheiro fiel do treinador Ash Ketchum, conhecido por seu grito "Pika-Pika!";
7;Fred Flintstone;William Hanna;The Flintstones;O patriarca da familia Flintstone, um operario da Idade da Pedra conhecido por seu grito "Yabba-Dabba-Doo!";
8;Tom Cat;William Hanna;Tom and Jerry;Um gato que esta constantemente em perseguicao ao rato Jerry, resultando em muitas situacoes comicas;
9;Jerry Mouse;William Hanna;Tom and Jerry;Um rato astuto e travesso que sempre consegue escapar das armadilhas do gato Tom;
10;Dexter;Genndy Tartakovsky;Dexter's Laboratory;Um jovem genio cientifico que cria invencoes incriveis em seu laboratorio secreto;
11;Pato Donald;Walt Disney;Donald Duck;Um pato temperamental e desastrado, conhecido por sua voz caracteristica e suas aventuras com seus sobrinhos;
12;Daffy Duck;Tex Avery;Looney Tunes;Um pato mal-humorado e egocentrico, frequentemente envolvido em confusoes com Bugs Bunny;
13;Betty Boop;Max Fleischer;Betty Boop;Uma flapper dos anos 1930 com uma voz infantil e um estilo de vida glamoroso;
14;Charlie Brown;Charles M. Schulz;Peanuts;Um menino azarado e inseguro, sempre tentando liderar seu time de beisebol e conquistar a Menina Ruiva;
15;Snoopy;Charles M. Schulz;Peanuts;O cao beagle de Charlie Brown, conhecido por sua imaginacao vivida e suas aventuras como o As Voador;
16;Bart Simpson;Matt Groening;The Simpsons;O filho travesso e rebelde de Homer e Marge Simpson, famoso por suas pegadinhas e frases de efeito;
17;Lisa Simpson;Matt Groening;The Simpsons;A filha inteligente e etica da familia Simpson, conhecida por sua paixao pela musica e pela justica social;
18;Popeye;E.C. Segar;Popeye the Sailor;Um marinheiro musculoso que ganha forca ao comer espinafre, sempre em busca de salvar sua amada Olivia Palito;
19;Wile E. Coyote;Chuck Jones;Looney Tunes;Um coiote persistente que esta sempre tentando capturar o veloz Papa-Leguas, sem sucesso;
20;Papa-Leguas;Chuck Jones;Looney Tunes;Um passaro veloz que constantemente escapa das armadilhas do Wile E. Coyote, conhecido por seu som caracteristico "Beep Beep!";
21;Garfield;Jim Davis;Garfield and Friends;Um gato laranja preguiçoso e sarcastico, que adora lasanha e detesta segundas-feiras;
22;Pinky;Tom Ruegger;Animaniacs;Um rato de laboratorio bobo e otimista, companheiro do genial Cerebro em suas tentativas de conquistar o mundo;
23;Cerebro;Tom Ruegger;Animaniacs;Um rato de laboratorio superinteligente e ambicioso, sempre planejando dominar o mundo com a ajuda de Pinky;
24;He-Man;Roger Sweet;He-Man and the Masters of the Universe;Um guerreiro poderoso que defende o reino de Eternia do malvado Esqueleto;
25;Skeletor;Roger Sweet;He-Man and the Masters of the Universe;O principal antagonista de He-Man, um feiticeiro maligno com uma aparencia esqueletica;
26;Leonardo;Kevin Eastman;Teenage Mutant Ninja Turtles;O lider das Tartarugas Ninja, especialista em ninjutsu e armado com duas espadas katana;
27;Donatello;Kevin Eastman;Teenage Mutant Ninja Turtles;O cerebro das Tartarugas Ninja, conhecido por sua habilidade com tecnologia e sua arma bo;
28;Michelangelo;Kevin Eastman;Teenage Mutant Ninja Turtles;O palhaco da turma, amante de pizza e armado com nunchakus;
29;Raphael;Kevin Eastman;Teenage Mutant Ninja Turtles;O bad boy das Tartarugas Ninja, com uma personalidade rebelde e usando sais como arma;
30;Optimus Prime;Hasbro;Transformers;O lider dos Autobots, um robo que se transforma em um caminhao e luta pela paz e justica contra os Decepticons;
31;Megatron;Hasbro;Transformers;O lider dos Decepticons, inimigo mortal de Optimus Prime, que se transforma em uma arma poderosa;
32;Ash Ketchum;Satoshi Tajiri;Pokemon;Um jovem treinador Pokemon determinado a se tornar um Mestre Pokemon, sempre acompanhado por Pikachu;
33;Sailor Moon;Naoko Takeuchi;Sailor Moon;Uma estudante que se transforma em uma guerreira magica para lutar contra as forcas do mal;
34;Goku;Akira Toriyama;Dragon Ball;Um guerreiro Saiyajin com habilidades extraordinarias, sempre em busca de se tornar mais forte e proteger a Terra;
